# Manually converted from free_period.txt captured by Tek scope
# s?\([\-0-9\.]\+\)\s\([\-0-9\.]\+\)?\1,\2?g
8.652,-2.112
8.654,-2.112
8.656,-2.112
8.658,-2.112
8.66,-2.112
8.662,-2.112
8.664,-2.112
8.666,-2.112
8.668,-2.112
8.67,-2.112
8.672,-2.112
8.674,-2.112
8.676,-2.104
8.678,-2.112
8.68,-2.104
8.682,-2.112
8.684,-2.104
8.686,-2.104
8.688,-2.112
8.69,-2.112
8.692,-2.104
8.694,-2.104
8.696,-2.104
8.698,-2.104
8.7,-2.104
8.702,-2.104
8.704,-2.112
8.706,-2.104
8.708,-2.104
8.71,-2.104
8.712,-2.104
8.714,-2.104
8.716,-2.104
8.718,-2.104
8.72,-2.104
8.722,-2.104
8.724,-2.096
8.726,-2.096
8.728,-2.104
8.73,-2.104
8.732,-2.104
8.734,-2.104
8.736,-2.104
8.738,-2.104
8.74,-2.112
8.742,-2.104
8.744,-2.104
8.746,-2.104
8.748,-2.104
8.75,-2.112
8.752,-2.112
8.754,-2.112
8.756,-2.112
8.758,-2.112
8.76,-2.112
8.762,-2.112
8.764,-2.112
8.766,-2.112
8.768,-2.112
8.77,-2.112
8.772,-2.112
8.774,-2.112
8.776,-2.112
8.778,-2.112
8.78,-2.112
8.782,-2.112
8.784,-2.112
8.786,-2.112
8.788,-2.112
8.79,-2.112
8.792,-2.112
8.794,-2.112
8.796,-2.112
8.798,-2.112
8.8,-2.112
8.802,-2.112
8.804,-2.112
8.806,-2.112
8.808,-2.112
8.81,-2.112
8.812,-2.112
8.814,-2.112
8.816,-2.112
8.818,-2.112
8.82,-2.112
8.822,-2.112
8.824,-2.112
8.826,-2.112
8.828,-2.112
8.83,-2.12
8.832,-2.12
8.834,-2.12
8.836,-2.12
8.838,-2.12
8.84,-2.12
8.842,-2.12
8.844,-2.12
8.846,-2.12
8.848,-2.12
8.85,-2.12
8.852,-2.128
8.854,-2.12
8.856,-2.12
8.858,-2.128
8.86,-2.128
8.862,-2.128
8.864,-2.128
8.866,-2.12
8.868,-2.12
8.87,-2.12
8.872,-2.12
8.874,-2.12
8.876,-2.12
8.878,-2.12
8.88,-2.128
8.882,-2.128
8.884,-2.128
8.886,-2.128
8.888,-2.12
8.89,-2.128
8.892,-2.128
8.894,-2.128
8.896,-2.12
8.898,-2.128
8.9,-2.128
8.902,-2.128
8.904,-2.128
8.906,-2.128
8.908,-2.128
8.91,-2.128
8.912,-2.128
8.914,-2.128
8.916,-2.128
8.918,-2.128
8.92,-2.128
8.922,-2.128
8.924,-2.136
8.926,-2.136
8.928,-2.128
8.93,-2.136
8.932,-2.136
8.934,-2.136
8.936,-2.136
8.938,-2.136
8.94,-2.136
8.942,-2.144
8.944,-2.144
8.946,-2.144
8.948,-2.144
8.95,-2.144
8.952,-2.144
8.954,-2.144
8.956,-2.152
8.958,-2.144
8.96,-2.152
8.962,-2.152
8.964,-2.152
8.966,-2.144
8.968,-2.144
8.97,-2.152
8.972,-2.152
